Type,Litology,Tporosity,Eporosity,K,S,Sy,Compressibility,Note,Location,Source
Igneous,Basalt,0.01,NA,NA,NA,NA,NA,Dense,NS,1
Igneous,Basalt,5,NA,1.73E-05,NA,NA,NA,Dense,NS,1
Igneous,Basalt,NA,NA,8.64E-07,NA,NA,NA,Dense,NS,61
Igneous,Basalt,NA,NA,0.000864,NA,NA,NA,Dense,NS,61
Igneous,Basalt,17,NA,NA,NA,NA,NA,Fractured,NS,1_4
Igneous,Basalt,0.1,NA,NA,NA,NA,NA,Fractured,NS,2
Igneous,Basalt,25,NA,NA,NA,NA,NA,Fractured,NS,2
Igneous,Basalt,0.1,NA,NA,NA,NA,NA,Fractured,NS,3_7
Igneous,Basalt,0.01,NA,0.0346,NA,NA,NA,NS,NS,3_7
Igneous,Basalt,5,NA,0.0346,NA,NA,NA,NS,NS,5_7
Igneous,Basalt,0.01,NA,1.73E-06,NA,NA,NA,NS,NS,5_7
Igneous,Basalt,30,10,0.0864,NA,NA,NA,Fractured Vacuolar Basalt,NS,5_9
Igneous,Basalt,NA,NA,8.64E-05,NA,NA,NA,Vacuolar basalt,NS,61
Igneous,Basalt,NA,NA,0.000864,NA,NA,NA,Vacuolar basalt,NS,61
Igneous,Basalt,0.001,NA,3.00E-04,NA,NA,NA,NS,NS,8
Igneous,Basalt,5,NA,476,NA,NA,NA,Fractured Vacuolar Basalt,NS,8_17
Igneous,Basalt,NA,NA,3,NA,NA,NA,Fractured,NS,8
Igneous,Basalt,0.1,NA,8.64E-07,NA,NA,NA,NS,NS,9_10
Igneous,Basalt,32,NA,0.000864,NA,NA,NA,Fractured,NS,9_10
Igneous,Basalt,0.1,NA,600,NA,NA,NA,Fractured,NS,12_17
Igneous,Basalt,2.9,NA,520,NA,NA,NA,Fractured,NS,12_22
Igneous,Basalt,NA,NA,0.0026,NA,NA,NA,Fractured,Snake River Plain aquifer_ eastern Idaho,16
Igneous,Basalt,NA,NA,0.0017,NA,NA,NA,Fractured,Snake River Plain aquifer_ eastern Idaho,16
Igneous,Basalt,NA,NA,150,NA,0.05,2.50E-09,Fractured,The groundwater system in southern Oahu_ Hawaii ,17
Igneous,Basalt,NA,NA,NA,NA,0.19,NA,Fractured,The groundwater system in southern Oahu_ Hawaii ,17
Igneous,Basalt,NA,NA,NA,NA,NA,NA,NS,NS,24
Igneous,Basalt,NA,NA,0.084,NA,NA,NA,NS,NS,25
Igneous,Basalt,NA,NA,305,NA,NA,NA,Fractured,Honomanu Basalt_  East Maui Volcano (Haleakala),26
Igneous,Basalt,NA,NA,107,NA,NA,NA,Fractured,Honomanu Basalt_  East Maui Volcano (Haleakala),26
Igneous,Basalt,NA,NA,0.0838,NA,NA,NA,Fractured,Hydrogeologic Unit Koloa volcanics,45
Igneous,Basalt,NA,NA,0.000168,NA,NA,NA,NS,Hydrogeologic unit Koloa volcanics,45
Igneous,Basalt,NA,NA,0.338,NA,NA,NA,Fractured,Hidrogeologic unit Waimea Canyonn basalt,45
Igneous,Basalt,NA,NA,0.00339,NA,NA,NA,NS,Hidrogeologic unit Waimea Canyonn basalt,45
Igneous,Basalt,NA,NA,61,NA,NA,NA,Fractured,Hidrogeologic unit Waimea Canyonn basalt,45
Igneous,Basalt,NA,NA,0.305,NA,NA,NA,Fractured,Hidrogeologic unit Waimea Canyonn basalt,45
Igneous,Basalt,NA,NA,152,NA,0.2,NA,Fractured,Aquifer Isalnd of Oahu_ Hawaii,47
Igneous,Basalt,NA,NA,NA,NA,0.01,NA,Fractured,Aquifer Isalnd of Oahu_ Hawaii,47
Igneous,Basalt,NA,NA,0.305,NA,NA,NA,fractured,Aquifer Isalnd of Oahu_ Hawaii,48
Igneous,Basalt,NA,NA,152,NA,NA,NA,Fractured,Aquifer Isalnd of Oahu_ Hawaii,48
Igneous,Basalt,NA,NA,0.305,NA,NA,NA,Fractured,Honolulu volcanicsAquifer Isalnd of Oahu_ Hawaii,48
Igneous,Basalt,NA,NA,152,NA,NA,NA,Fractured,Honolulu volcanicsAquifer Isalnd of Oahu_ Hawaii,48
Igneous,Basalt,NA,NA,0.14,NA,NA,NA,Fractured,Honolulu volcanicsAquifer Isalnd of Oahu_ Hawaii,48
Igneous,Basalt,NA,NA,549,NA,NA,NA,Fractured,Aquifer Isalnd of Oahu_ Hawaii,48
Igneous,Basalt,NA,NA,0.04,NA,NA,NA,NS,Aquifer Isalnd of Oahu_ Hawaii,49
Igneous,Basalt,NA,NA,0.06,NA,NA,NA,NS,Aquifer Isalnd of Oahu_ Hawaii,49
Igneous,Basalt,NA,NA,20.7,NA,NA,NA,Fractured,Aquifer Isalnd of Oahu_ Hawaii,50
Igneous,Basalt,NA,NA,0.059,NA,NA,NA,NS,Aquifer Isalnd of Oahu_ Hawaii,50
Igneous,Basalt,NA,NA,293,NA,NA,NA,Fractured,Aquifer Isalnd of Oahu_ Hawaii,50
Igneous,Basalt,NA,NA,0.02,NA,NA,NA,NS,Aquifer Isalnd of Oahu_ Hawaii,50
Igneous,Basalt,NA,NA,488,NA,NA,NA,Fractured,Aquifer Isalnd of Oahu_ Hawaii,52
Igneous,Basalt,NA,NA,0.014,NA,NA,NA,NS,Aquifer Isalnd of Oahu_ Hawaii,52
Igneous,Basalt,NA,NA,73.152,NA,NA,NA,Fractured,Aquifer Isalnd of Oahu_ Hawaii,53
Igneous,Basalt,NA,NA,0.0078,NA,NA,NA,NS,Aquifer Isalnd of Oahu_ Hawaii,53
Igneous,Basalt,NA,NA,249.936,NA,NA,NA,Fractured,Aquifer Isalnd of Oahu_ Hawaii,53
Igneous,Basalt,NA,NA,0.028,NA,NA,NA,NS,Aquifer Isalnd of Oahu_ Hawaii,53
Igneous,Basalt,NA,NA,0.0077,NA,NA,NA,NS,Aquifer Isalnd of Oahu_ Hawaii,53
Igneous,Basalt,NA,NA,0.02,NA,NA,NA,NS,Aquifer Isalnd of Oahu_ Hawaii,53
Igneous,Basalt,NA,NA,0.047,NA,NA,NA,NS,Aquifer Isalnd of Oahu_ Hawaii,53
Igneous,Basalt,NA,NA,0.19,NA,NA,NA,Fractured,Aquifer Isalnd of Oahu_ Hawaii,53
Igneous,Basalt,0.18,NA,5.00E-05,NA,NA,NA,NS,Zone aquifer_ Handford site_ Canadá,54
Igneous,Basalt,NA,NA,86.4,NA,NA,NA,Fractured,Oahu_ Hawaii,55
Igneous,Basalt,NA,NA,0.09,NA,NA,NA,Fractured,Oahu_ Hawaii,55
Igneous,Basalt,NA,NA,0.000864,NA,NA,NA,NS,Oahu_ Hawaii,55
Igneous,Basalt,NA,NA,1.13,NA,NA,NA,Fractured,Chamokane Creek Basin_ Stevens County_ Washington,56
Igneous,Basalt,NA,NA,0.0329,NA,NA,NA,NS,Wallula located in Southeastern Washington State.,58
Igneous,Basalt,NA,NA,0.0661,NA,NA,NA,NS,Wallula located in Southeastern Washington State.,58
Igneous,Basalt,NA,NA,0.0664,NA,NA,NA,NS,Wallula located in Southeastern Washington State.,58
Igneous,Basalt,NA,NA,0.0026,NA,NA,NA,Fractured,Snake River Plain aquifer_ eastern Idaho,59
Igneous,Basalt,NA,NA,0.0017,NA,NA,NA,Fractured,Snake River Plain aquifer_ eastern Idaho,59
Igneous,Basalt,NA,NA,0.259,NA,NA,NA,Fractured,Columbia River basalts,60
Igneous,Basalt,10,NA,864,NA,NA,NA,Fractured,"basalts of Bazargan and Poldasht Plain aquifers
",61
Igneous,Basalt,15,NA,8.64E-05,NA,NA,NA,Fractured,"basalts of Bazargan and Poldasht Plain aquifers
",61
Igneous,Basalt,NA,NA,440,NA,0.073,NA,Fractured,Wailuku Basalt_  island of Maui_ Hawaii,62
Igneous,Basalt,NA,NA,610,NA,NA,NA,Fractured,Kula Basalt_  island of Maui_ Hawaii,62
Igneous,Basalt,NA,NA,520,NA,NA,NA,Fractured,Both Wailuku Basalt_  island of Maui_ Hawaii,62
Igneous,Basalt,NA,NA,0.0457,NA,0.04,2.50E-09,NS,Aquifer Kalauao_ Oahu,63
Igneous,Basalt,NA,NA,NA,NA,0.05,NA,NS,Aquifer Kalauao_ Oahu,64
Igneous,Basalt,NA,NA,NA,NA,0.19,NA,NS,Aquifer Kalauao_ Oahu,64
Igneous,Basalt,NA,15,1.00E-04,NA,0.09,NA,Fractured,Akola and Buldhana districts_ Maharashtra_ India,85
Igneous,Basalt,NA,NA,1.00E-05,NA,0.022,NA,NS,Akola and Buldhana districts_ Maharashtra_ India,85
Igneous,Basalt,NA,NA,0.000105,NA,0.22,NA,NS,Akola and Buldhana districts_ Maharashtra_ India,85
Igneous,Basalt,NA,NA,2,NA,NA,NA,Fractured,Azraq Basin_ Jordan,92
Igneous,Basalt,NA,NA,90,NA,NA,NA,Fractured,Azraq Basin_ Jordan,92
Igneous,Basalt,0.1,NA,NA,NA,NA,NA,Fractured,NS,138
Igneous,Basalt,3,NA,NA,NA,NA,NA,Fractured,NS,138
Igneous,Basalt,20,NA,0.4,NA,NA,NA,Fractured,Formación Tilzapotla_ The basin of the Amacuzac River_ Mexico,147
Igneous,Basalt,NA,0.03,NA,NA,NA,NA,NS,y basalt in Eastern Snake Plain_ Idaho_ U.S.A.,246
Igneous,Basalt,NA,0.14,NA,NA,NA,NA,NS,y basalt in Eastern Snake Plain_ Idaho_ U.S.A.,246
Igneous,Basalt,NA,NA,NA,0.0019,NA,NA,Fractured,Deccan basalt province. The Torla Odha,261
Igneous,Basalt,NA,NA,NA,NA,0.0173,NA,Fractured,Deccan basalt province. The Torla Odha,261
Igneous,Basalt,NA,NA,1.11,0.001,NA,NA,Fractured,Deccan basalt province. The Torla Odha,262
Igneous,Basalt,NA,NA,7.95,NA,0.1,NA,Fractured,Deccan basalt province. The Torla Odha,262
Igneous,Basalt,NA,10,NA,NA,NA,NA,Fractured,NRTS_ Idaho,292
Igneous,Basalt,NA,10,NA,NA,NA,NA,Fractured,NRTS_ Idaho,308
Igneous,Basalt,NA,NA,500,NA,0.03,NA,Fractured,Aquifers of central Maui_ Hawaii,363
Igneous,Basalt,NA,NA,500,NA,0.04,NA,Fractured,Aquifers of central Maui_ Hawaii,363
Igneous,Basalt,NA,NA,500,NA,0.1,NA,Fractured,Aquifers of central Maui_ Hawaii,363
Igneous,Basalt,NA,NA,0.899,2.00E-05,NA,NA,NS,Volcanic aquifers in the Republic of Djibouti_ Eastern Africa,440
Igneous,Basalt,NA,NA,197,9.00E-04,NA,NA,Fractured,Volcanic aquifers in the Republic of Djibouti_ Eastern Africa,440
Igneous,Basalt,NA,NA,0.0346,3.00E-07,NA,NA,NS,Volcanic aquifers in the Republic of Djibouti_ Eastern Africa,440
Igneous,Basalt,NA,NA,1.97,0.004,NA,NA,Fractured,Volcanic aquifers in the Republic of Djibouti_ Eastern Africa,440
Igneous,Basalt,NA,NA,0.001,5.00E-06,0.04,NA,NS,Volcanic aquifers in the Republic of Djibouti_ Eastern Africa,440
Igneous,Basalt,NA,NA,5.53,5.00E-06,NA,NA,Fractured,Volcanic aquifers in the Republic of Djibouti_ Eastern Africa,440
Igneous,Basalt,NA,NA,6.97,2.00E-05,NA,NA,Fractured,The Republic of Djibouti _ located within the Horn of Africa,446
Igneous,Basalt,NA,NA,55.3,0.0013,NA,NA,Fractured,The Republic of Djibouti _ located within the Horn of Africa,446
Igneous,Basalt,NA,NA,0.987,0.00022,NA,NA,Fractured,"The Lamentin aquifer_ Martinique island_ Lesser Antilles
archipelago",448
Igneous,Basalt,NA,NA,11.1,0.005,NA,NA,Fractured,"The Lamentin aquifer_ Martinique island_ Lesser Antilles
archipelago",448
Igneous,Basalt,NA,NA,310,NA,0.04,NA,Fractured,Wailuku Basalt_ The island of Maui_ Hawaiia,451452
Igneous,Basalt,NA,NA,84.6,1.00E-06,0.12,NA,Fractured,"Cheju Island_ south of
the Korean peninsula",453
Igneous,Basalt,NA,NA,NA,NA,0.5,NA,Fractured,"Cheju Island_ south of
the Korean peninsula",453
Igneous,Basalt,10,NA,NA,NA,0.02,NA,Weathered,Betwa River basin_ Madhya Pradesh_ India,464
Igneous,Basalt,34,NA,NA,NA,0.26,NA,Weathered,Betwa River basin_ Madhya Pradesh_ India,464
Igneous,Basalt,0.5,NA,NA,NA,0.008,NA,Fractured,Betwa River basin_ Madhya Pradesh_ India,464
Igneous,Basalt,15,NA,NA,NA,0.1,NA,Fractured,Betwa River basin_ Madhya Pradesh_ India,464
Igneous,Basalt,1,NA,NA,NA,0.01,NA,Vesicular,Betwa River basin_ Madhya Pradesh_ India,464
Igneous,Basalt,4,NA,NA,NA,0.03,NA,Vesicular,Betwa River basin_ Madhya Pradesh_ India,464
Igneous,Basalt,NA,NA,3.28,NA,0.0206,NA,Fractured,The Pilbara region in Western Australia,479
Igneous,Basalt,NA,1,5,NA,0.01,NA,Fractured,West Bengal_ Bihar_ Madhya Pradesh_ India,480
Igneous,Basalt,NA,NA,15,NA,0.04,NA,Fractured,West Bengal_ Bihar_ Madhya Pradesh_ India,480
Igneous,Basalt,NA,NA,5.5,0.0013,NA,NA,Weathered and Fractured,Lakhmapur_ Nanded District_ Maharashtra,485
Igneous,Basalt,NA,NA,2.88,NA,0.018,NA,Weathered and Fractured,SindKhed_ Nanded District_ Maharashtra,485
Igneous,Basalt,NA,NA,5.67,0.000278,NA,NA,Fractured,Bodhadi (Bk)_ Nanded District_ Maharashtra,485
Igneous,Basalt,NA,NA,59.3,0.00029,NA,NA,Weathered,Shivani_ Nanded District_ Maharashtra,485
Igneous,Basalt,NA,NA,52,0.000743,NA,NA,Weathred and Fractured,Bhokar_ Nanded District_ Maharashtra,485
Igneous,Basalt,NA,NA,21.5,0.00247,NA,NA,Fractured,Mokhandi_ Nanded District_ Maharashtra,485
Igneous,Basalt,NA,NA,28.7,NA,0.0297,NA,Weathred and Fractured,Barad Nanded District_ Maharashtra,485
Igneous,Basalt,NA,NA,28.7,NA,0.0175,NA,Weathred and Fractured,Kamtha_ Nanded District_ Maharashtra,485
Igneous,Basalt,NA,NA,6.5,NA,0.0732,NA,Weathred,Krishnur_ Nanded District_ Maharashtra,485
Igneous,Basalt,NA,NA,7.67,2.00E-05,NA,NA,Weathred and Fractured,Osmannagar_ Nanded District_ Maharashtra,485
Igneous,Basalt,NA,NA,NA,0.000157,NA,NA,Fractured,Manjaram_ Nanded District_ Maharashtra,485
Igneous,Basalt,NA,NA,9.17,NA,0.0065,NA,Fractured adn Weathered,The Addis Ababa area_ Ethiopian Pleateu,489
Igneous,Basalt,NA,NA,9.17,NA,0.016,NA,Fractured adn Weathered,The Addis Ababa area_ Ethiopian Pleateu,489
Igneous,Basalt,NA,NA,500,NA,NA,NA,Fractured adn Weathered,The Addis Ababa area_ Ethiopian Pleateu,489
Igneous,Basalt,10,5,100,NA,NA,NA,Vesicular_ Fractured,aquifer in southern Oahu_ Hawaii_ USA,552
Igneous,Basalt,NA,NA,NA,NA,NA,NA,Vesicular_ Fractured,aquifer in southern Oahu_ Hawaii_ USA,552
Igneous,Basalt,NA,4,400,NA,0.04,2.50E-09,Vesicular_ Fractured,aquifer in southern Oahu_ Hawaii_ USA,552
Igneous,Basalt,NA,NA,0.45,NA,0.012,NA,Fractured,The Koyna River basin in India,565
Igneous,Basalt,NA,NA,0.6,NA,0.012,NA,Fractured,The Koyna River basin in India,565
Igneous,Basalt,NA,NA,2.25,NA,NA,NA,Fractured,The Koyna River basin in India,565
Igneous,Basalt,10.6,NA,8.41,NA,0.0493,NA,Weathred and Fractured,Bhidi_ Wardha district_ Maharashtra_ India,568
Igneous,Basalt,7.9,NA,10,NA,0.0376,NA,Weathred and Fractured,Babhulgaon_ Wardha district_ Maharashtra_ India,568
Igneous,Basalt,5.1,NA,3.27,NA,0.0143,NA,Weathered,Junona_ Wardha district_ Maharashtra_ India,568
Igneous,Basalt,5.2,NA,3.61,NA,0.0178,NA,Weathered,Pimpalgaon_ Wardha district_ Maharashtra_ India,568
Igneous,Basalt,6.6,NA,6.53,NA,0.0265,NA,Weathered,Wabgaon_ Wardha district_ Maharashtra_ India,568
Igneous,Basalt,7.3,NA,5.45,NA,0.0239,NA,Weathered,Ekurli_ Wardha district_ Maharashtra_ India,568
Igneous,Basalt,7.8,NA,6.95,NA,0.0383,NA,Weathred and Fractured,Khatkheda_ Wardha district_ Maharashtra_ India,568
Igneous,Basalt,5,NA,0.04,NA,NA,2.50E-09,Weathered and Fractured,"Hanamaulu
on the island of Kauai_ Hawaii",574
Igneous,Basalt,NA,NA,0.02,NA,NA,NA,Weathered and Fractured,"Hanamaulu
on the island of Kauai_ Hawaii",574
Igneous,Basalt,NA,NA,NA,NA,0.01,NA,Poorly Weathered,Kalmeshwar Tehsil site_ north Nagpur city_ Central India,590
Igneous,Basalt,NA,NA,NA,NA,0.02,NA,Moderately weathered,Kalmeshwar Tehsil site_ north Nagpur city_ Central India,590
Igneous,Basalt,NA,NA,NA,NA,0.03,NA,Highly jointed and weathered,Kalmeshwar Tehsil site_ north Nagpur city_ Central India,590
Igneous,Basalt,NA,NA,NA,NA,0.012,NA,Fractured,Koyna River basin_ India,599
Igneous,Basalt,NA,NA,NA,NA,0.0065,NA,NS,"Bishoftu
Group_Akaki catchment_ central Ethiopia",601
Igneous,Basalt,NA,NA,NA,NA,0.016,NA,NS,"Bishoftu
Group_Akaki catchment_ central Ethiopia",601
Igneous,Basalt,NA,NA,0.05,NA,0.005,NA,Fractued,La Aldea_ Gran Canaria_ Canary Islands (Spain),602
Igneous,Basalt,NA,NA,0.3,NA,0.005,NA,Fractued,La Aldea_ Gran Canaria_ Canary Islands (Spain),602
Igneous,Basalt,NA,NA,0.5,NA,0.01,NA,Fractued,La Aldea_ Gran Canaria_ Canary Islands (Spain),602
Igneous,Basalt,2,NA,NA,NA,0.008,NA,NS,NS,603
Igneous,Basalt,NA,NA,NA,NA,0.02,NA,NS,NS,603
Igneous,Basalt,1,12,0.0432,NA,NA,NA,Fractured,"Serra Geral Formation_ Aquifer System
in the state of São Paulo_ Brazil",629_ 630
Igneous,Basalt,5,12,4.32,NA,NA,NA,Fractured,"Serra Geral Formation_ Aquifer System
in the state of São Paulo_ Brazil",629_ 630
Igneous,Basalt,NA,1,0.0864,NA,NA,NA,Fractured,Basalt aquifer system (Washington_ USA),632_ 633
Igneous,Basalt,NA,25,0.0864,NA,NA,NA,Fractured,Basalt aquifer system (Washington_ USA),632_ 633
Igneous,Basalt,10,NA,4.32,NA,NA,NA,Fractured,Toluca Basin_ Mexico,674
Igneous,Basalt,NA,1,NA,NA,NA,NA,Weathered and fractured,Sina River basin_  Maharashtra_ western India,845
Igneous,Basalt,NA,2.6,NA,NA,NA,NA,Weathered and fractured,Sina River basin_  Maharashtra_ western India,845
Igneous,Basalt,NA,NA,0.3,0.002,NA,NA,Fractured,The Azraq basin_ Syria,847
Igneous,Basalt,NA,NA,0.5,NA,NA,NA,Fractured,The Azraq basin_ Syria,847
Igneous,Basalt,NA,NA,14.7,0.002,NA,NA,Fractured,The Azraq basin_ Syria,847
Igneous,Basalt,NA,NA,0.7,NA,NA,NA,Fractured,The Azraq basin_ Syria,847
Igneous,Basalt,NA,NA,120,0.002,NA,NA,Fractured,The Azraq basin_ Syria,847
Igneous,Basalt,NA,NA,NA,NA,NA,NA,Fractured,The Azraq basin_ Syria,847
Igneous,Basalt,NA,NA,NA,NA,0.005,NA,NS,Basalt-Rijam_ Hashemite Kingdom of Jordan,849
Igneous,Basalt,NA,NA,NA,NA,0.009,NA,NS,Basalt-Rijam_ Hashemite Kingdom of Jordan,849
Igneous,Basalt,NA,NA,NA,NA,0.02,NA,NS,"Basalt aquifer Vidarbha is the eastern region of the Indian state of
Maharashtra",851
Igneous,Basalt,NA,NA,NA,NA,0.03,NA,NS,"Basalt aquifer Vidarbha is the eastern region of the Indian state of
Maharashtra",851
Igneous,Basalt,10,1,NA,NA,NA,NA,Vesicular Fractured,The Jebel el Arab Basalt Area_ North Arabian volcanic province,729
Igneous,Basalt,50,1,NA,NA,NA,NA,Vesicular Fractured,The Jebel el Arab Basalt Area_ North Arabian volcanic province,729
Igneous,Basalt,3,NA,NA,NA,NA,3.20E-09,Fractured,Newberry Volcano formation_ Bend_ Oregon_ Estados Unidos,730
Igneous,Basalt,10,NA,NA,NA,NA,NA,Fractured,Newberry Volcano formation_ Bend_ Oregon_ Estados Unidos,730
Igneous,Basalt,NA,NA,NA,NA,0.01,NA,vasicular,NS,736
Igneous,Basalt,NA,NA,NA,NA,0.02,NA,vasicular,NS,736
Igneous,Basalt,NA,NA,NA,NA,0.03,NA,vasicular,NS,736
Igneous,Basalt,2.1,NA,0.46,NA,NA,NA,Fractured,Etna basalt_ Mount Etna_ Italy,758
Igneous,Basalt,0.66,0.64,NA,NA,NA,NA,Fresh rock,Delhi Quartzite_  Precambrian Dlehi system India,760
Igneous,Basalt,5.24,4.97,NA,NA,NA,NA,slightly weathered,Delhi Quartzite_  Precambrian Dlehi system India,760
Igneous,Basalt,13.54,9.5,NA,NA,NA,NA,Highly weathered,Delhi Quartzite_  Precambrian Dlehi system India,760
Igneous,Basalt,30.13,29.52,NA,NA,NA,NA,Completely weathered,Delhi Quartzite_  Precambrian Dlehi system India,760
Igneous,Basalt,0.1,NA,NA,NA,NA,NA,NS,NS,762
Igneous,Basalt,1,NA,NA,NA,NA,NA,NS,NS,762
Igneous,Basalt,NA,4.22,NA,NA,NA,NA,Fractured,Osmaniye location_ Turkey,765
Igneous,Basalt,NA,2.42,NA,NA,NA,NA,NS,Erzurum location_ Turkey,765
Igneous,Basalt,NA,1.58,NA,NA,NA,NA,NS,Ni?de location_ Turkey,765
Igneous,Basalt,NA,3.97,NA,NA,NA,NA,NS,Kars location_ Turkey,765
Igneous,Basalt,NA,0.01,NA,NA,NA,NA,NS,Kars location_ Turkey,765
Igneous,Basalt,NA,0.6,NA,NA,NA,NA,NS,Erzurum location_ Turkey,765
Igneous,Basalt,NA,NA,0.1,NA,0.01,NA,Fractured,"The Atherton Tablelands  south-west of Cairns_ a regional
city in North Queensland_ Australia",773
Igneous,Basalt,NA,NA,0.4,NA,0.064,NA,Fractured,"The Atherton Tablelands  south-west of Cairns_ a regional
city in North Queensland_ Australia",773
Igneous,Basalt,NA,NA,104,NA,0.2,NA,Fractured,"The Atherton Tablelands  south-west of Cairns_ a regional
city in North Queensland_ Australia",773
Igneous,Basalt,NA,NA,0.2,NA,0.02,NA,Fractured,"The Deccan basalts_ West-Central
India",774
Igneous,Basalt,NA,NA,0.6,NA,0.02,NA,Fractured,"The Deccan basalts_ West-Central
India",774
Igneous,Basalt,NA,NA,2,NA,0.12,NA,Fractured,"The Deccan basalts_ West-Central
India",774
Igneous,Basalt,NA,NA,NA,NA,0.008,NA,NS,"Pabal aquifer_The Deccan basalts_ West-Central
India",775
